データ日付,終値,始値,高値,安値
"2023/08/10","32473.65","32015.96","32504.85","32015.96"
"2023/08/14","32059.91","32456.72","32613.99","32031.54"
"2023/08/15","32238.89","32372.53","32403.93","32217.52"
"2023/08/16","31766.82","31965.58","31997.28","31766.82"
"2023/08/17","31626.00","31621.98","31704.08","31309.68"
"2023/08/18","31450.76","31321.26","31644.89","31275.25"
"2023/08/21","31565.64","31552.85","31758.70","31409.86"
"2023/08/22","31856.71","31792.60","31906.10","31693.76"
"2023/08/23","32010.26","31717.91","32039.60","31717.91"
"2023/08/24","32287.21","32130.52","32297.91","32063.14"
"2023/08/25","31624.28","31840.91","31885.53","31572.06"
"2023/08/28","32169.99","31915.68","32205.48","31881.93"
"2023/08/29","32226.97","32280.57","32389.12","32186.57"
"2023/08/30","32333.46","32432.95","32557.45","32300.56"
"2023/08/31","32619.34","32361.02","32692.76","32359.15"
"2023/09/01","32710.62","32521.15","32845.46","32499.44"
"2023/09/04","32939.18","32797.32","32939.18","32714.94"
"2023/09/05","33036.76","32941.41","33036.76","32784.32"
"2023/09/06","33241.02","33115.06","33282.15","33088.22"
"2023/09/07","32991.08","33118.55","33322.45","32986.35"
"2023/09/08","32606.84","32916.25","32920.43","32512.80"
"2023/09/11","32467.76","32690.54","32746.14","32391.69"
"2023/09/12","32776.37","32629.16","32799.69","32486.48"
"2023/09/13","32706.52","32742.29","32872.44","32616.65"
"2023/09/14","33168.10","32925.54","33244.45","32851.24"
"2023/09/15","33533.09","33428.44","33634.31","33391.46"
"2023/09/19","33242.59","33296.23","33337.23","33128.86"
"2023/09/20","33023.78","33261.35","33267.14","32988.65"
"2023/09/21","32571.03","32865.56","32939.89","32550.65"
"2023/09/22","32402.41","32189.32","32535.67","32154.53"
"2023/09/25","32678.62","32517.26","32722.22","32388.28"
"2023/09/26","32315.05","32640.05","32643.41","32315.05"
"2023/09/27","32371.90","32023.37","32371.90","31960.32"
"2023/09/28","31872.52","32119.37","32164.45","31674.42"
"2023/09/29","31857.62","32018.64","32027.46","31717.74"
"2023/10/02","31759.88","32101.97","32401.58","31759.88"
"2023/10/03","31237.94","31607.97","31607.97","31157.40"
"2023/10/04","30526.88","30765.03","30830.85","30487.67"
"2023/10/05","31075.36","30733.65","31083.90","30565.32"
"2023/10/06","30994.67","31003.95","31160.45","30928.16"
"2023/10/10","31746.53","31314.67","31818.26","31314.67"
"2023/10/11","31936.51","31847.10","32037.07","31804.09"
"2023/10/12","32494.66","32120.94","32494.66","32120.94"
"2023/10/13","32315.99","32328.39","32533.08","32249.03"
"2023/10/16","31659.03","31983.04","31999.79","31564.31"
"2023/10/17","32040.29","32063.79","32260.77","31901.39"
"2023/10/18","32042.25","32033.81","32101.47","31866.95"
"2023/10/19","31430.62","31579.54","31669.42","31399.17"
"2023/10/20","31259.36","31164.89","31428.97","31093.90"
"2023/10/23","30999.55","31151.98","31177.41","30974.26"
"2023/10/24","31062.35","31157.01","31210.26","30551.67"
"2023/10/25","31269.92","31302.51","31466.92","31195.58"
"2023/10/26","30601.78","30902.92","30943.33","30567.61"
"2023/10/27","30991.69","30713.79","31081.48","30687.33"
"2023/10/30","30696.96","30663.48","30762.50","30538.29"
"2023/10/31","30858.85","30694.96","30973.66","30552.65"
"2023/11/01","31601.65","31311.22","31601.65","31301.51"
"2023/11/02","31949.89","31987.02","32087.13","31878.36"
"2023/11/06","32708.48","32450.82","32766.54","32395.50"
"2023/11/07","32271.82","32551.77","32591.11","32250.93"
"2023/11/08","32166.48","32457.23","32512.17","32049.34"
"2023/11/09","32646.46","32316.39","32723.71","32193.20"
"2023/11/10","32568.11","32491.24","32598.93","32248.24"
"2023/11/13","32585.11","32818.15","32913.31","32499.28"
"2023/11/14","32695.93","32760.51","32836.27","32667.40"
"2023/11/15","33519.70","33112.31","33556.52","33096.93"
"2023/11/16","33424.41","33399.59","33614.13","33233.84"
"2023/11/17","33585.20","33344.85","33599.63","33263.67"
"2023/11/20","33388.03","33559.62","33853.46","33352.69"
"2023/11/21","33354.14","33453.15","33460.32","33254.73"
"2023/11/22","33451.83","33182.99","33593.50","33182.99"
"2023/11/24","33625.53","33752.05","33817.86","33622.57"
"2023/11/27","33447.67","33710.03","33811.41","33397.04"
"2023/11/28","33408.39","33520.39","33545.85","33298.04"
"2023/11/29","33321.22","33244.43","33516.23","33179.07"
"2023/11/30","33486.89","33260.14","33486.89","33161.07"
"2023/12/01","33431.51","33537.44","33551.57","33397.42"
"2023/12/04","33231.27","33318.07","33324.38","33023.04"
"2023/12/05","32775.82","33022.38","33089.82","32726.68"
"2023/12/06","33445.90","32928.92","33452.13","32914.09"
"2023/12/07","32858.31","33165.72","33195.87","32814.69"
